"game_pk","officialDate","gameNumber","doubleHeader","away_team_name","home_team_name","VisitorRunsScored","HomeRunsScored","F5_VisitorRunsScored","F5_HomeRunsScored"
663178,"2022-04-07",1,"N","Milwaukee Brewers","Chicago Cubs",4,5,1,3
662766,"2022-04-07",1,"N","Cleveland Guardians","Kansas City Royals",1,3,1,1
662021,"2022-04-07",1,"N","Pittsburgh Pirates","St. Louis Cardinals",0,9,0,4
662571,"2022-04-07",1,"N","New York Mets","Washington Nationals",5,1,2,0
661577,"2022-04-07",1,"N","Cincinnati Reds","Atlanta Braves",6,3,3,1
661042,"2022-04-07",1,"N","Houston Astros","Los Angeles Angels",3,1,1,0
663418,"2022-04-07",1,"N","San Diego Padres","Arizona Diamondbacks",2,4,2,0
661333,"2022-04-08",1,"N","Boston Red Sox","New York Yankees",5,6,3,3
662888,"2022-04-08",1,"N","Chicago White Sox","Detroit Tigers",4,5,3,0
661131,"2022-04-08",1,"N","Oakland Athletics","Philadelphia Phillies",5,9,1,5
661918,"2022-04-08",1,"N","Baltimore Orioles","Tampa Bay Rays",1,2,0,1
662933,"2022-04-08",1,"N","Los Angeles Dodgers","Colorado Rockies",5,3,5,2
661750,"2022-04-08",1,"N","Seattle Mariners","Minnesota Twins",2,1,2,1
662124,"2022-04-08",1,"N","Miami Marlins","San Francisco Giants",5,6,0,3
662559,"2022-04-08",1,"N","New York Mets","Washington Nationals",7,3,4,3
661782,"2022-04-08",1,"N","Texas Rangers","Toronto Blue Jays",8,10,7,7
661576,"2022-04-08",1,"N","Cincinnati Reds","Atlanta Braves",6,7,1,7
661041,"2022-04-08",1,"N","Houston Astros","Los Angeles Angels",13,6,3,2
663417,"2022-04-08",1,"N","San Diego Padres","Arizona Diamondbacks",3,0,0,0
661917,"2022-04-09",1,"N","Baltimore Orioles","Tampa Bay Rays",3,5,2,5
662864,"2022-04-09",1,"N","Chicago White Sox","Detroit Tigers",5,2,2,0
661756,"2022-04-09",1,"N","Seattle Mariners","Minnesota Twins",4,3,2,1
662020,"2022-04-09",1,"N","Pittsburgh Pirates","St. Louis Cardinals",2,6,2,5
663205,"2022-04-09",1,"N","Milwaukee Brewers","Chicago Cubs",0,9,0,7
661803,"2022-04-09",1,"N","Texas Rangers","Toronto Blue Jays",3,4,3,3
661130,"2022-04-09",1,"N","Oakland Athletics","Philadelphia Phillies",2,4,0,2
662123,"2022-04-09",1,"N","Miami Marlins","San Francisco Giants",2,1,1,1
661332,"2022-04-09",1,"N","Boston Red Sox","New York Yankees",2,4,2,2
662765,"2022-04-09",1,"N","Cleveland Guardians","Kansas City Royals",0,1,0,0
662588,"2022-04-09",1,"N","New York Mets","Washington Nationals",5,0,4,0
661575,"2022-04-09",1,"N","Cincinnati Reds","Atlanta Braves",1,2,0,2
662931,"2022-04-09",1,"N","Los Angeles Dodgers","Colorado Rockies",2,3,1,1
663404,"2022-04-09",1,"N","San Diego Padres","Arizona Diamondbacks",5,2,2,1
661040,"2022-04-09",1,"N","Houston Astros","Los Angeles Angels",0,2,0,1
661129,"2022-04-10",1,"N","Oakland Athletics","Philadelphia Phillies",4,1,0,0
661916,"2022-04-10",1,"N","Baltimore Orioles","Tampa Bay Rays",0,8,0,4
662887,"2022-04-10",1,"N","Chicago White Sox","Detroit Tigers",10,1,5,1
662570,"2022-04-10",1,"N","New York Mets","Washington Nationals",2,4,2,1
661573,"2022-04-10",1,"N","Cincinnati Reds","Atlanta Braves",6,3,6,3
661802,"2022-04-10",1,"N","Texas Rangers","Toronto Blue Jays",12,6,9,6
662755,"2022-04-10",1,"N","Cleveland Guardians","Kansas City Royals",17,3,13,2
661738,"2022-04-10",1,"N","Seattle Mariners","Minnesota Twins",4,10,4,8
662019,"2022-04-10",1,"N","Pittsburgh Pirates","St. Louis Cardinals",9,4,7,3
663204,"2022-04-10",1,"N","Milwaukee Brewers","Chicago Cubs",5,4,1,3
662934,"2022-04-10",1,"N","Los Angeles Dodgers","Colorado Rockies",4,9,4,7
662122,"2022-04-10",1,"N","Miami Marlins","San Francisco Giants",2,3,2,3
661039,"2022-04-10",1,"N","Houston Astros","Los Angeles Angels",4,1,2,1
663395,"2022-04-10",1,"N","San Diego Padres","Arizona Diamondbacks",10,5,8,0
661316,"2022-04-10",1,"N","Boston Red Sox","New York Yankees",4,3,3,3
662754,"2022-04-11",1,"N","Cleveland Guardians","Kansas City Royals",10,7,4,4
663403,"2022-04-11",1,"N","Milwaukee Brewers","Baltimore Orioles",0,2,0,2
662042,"2022-04-11",1,"N","Colorado Rockies","Texas Rangers",6,4,1,3
662863,"2022-04-11",1,"N","Boston Red Sox","Detroit Tigers",1,3,1,1
661915,"2022-04-11",1,"N","Oakland Athletics","Tampa Bay Rays",13,2,9,0
661637,"2022-04-11",1,"N","New York Mets","Philadelphia Phillies",4,5,3,0
661315,"2022-04-11",1,"N","Toronto Blue Jays","New York Yankees",3,0,2,0
661572,"2022-04-11",1,"N","Washington Nationals","Atlanta Braves",11,2,5,1
661754,"2022-04-11",1,"N","Seattle Mariners","Minnesota Twins",0,4,0,4
661036,"2022-04-11",1,"N","Miami Marlins","Los Angeles Angels",2,6,1,4
662116,"2022-04-11",1,"N","San Diego Padres","San Francisco Giants",4,2,2,1
662862,"2022-04-12",1,"N","Boston Red Sox","Detroit Tigers",5,3,0,3
663088,"2022-04-12",1,"N","Cleveland Guardians","Cincinnati Reds",10,5,4,0
