"Team","PA","HR","R","RBI","SB","BB.","K.","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC.","EV","BsR","Off","Def","WAR","LD.","GB.","FB.","HR.FB","O.Swing.","SwStr.","Barrel.","HardHit.","Date","url"
"BAL",49,2,10,9,5,0.184,0.163,0.263,0.464,0.395,0.521,0.658,0.528,243,89,0.8,8.4,-0.1,1,0.4,0.333,0.267,0.25,0.287,0.057,0.065,0.548,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=c,6,11,12,13,21,34,35,40,41,23,37,38,50,61,305,111,203,199,58,43,44,45,47,102,110,308,311&season=2023&month=1000&season1=2023&ind=0&team=0,ts&rost=0&age=0&filter=&players=0&startdate=2023-03-17&enddate=2023-03-30"
"COL",45,3,7,7,1,0.022,0.378,0.295,0.583,0.386,0.4,0.682,0.487,192,87.6,0.1,4.7,-0.1,0.6,0.259,0.444,0.296,0.375,0.431,0.166,0.111,0.37,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=c,6,11,12,13,21,34,35,40,41,23,37,38,50,61,305,111,203,199,58,43,44,45,47,102,110,308,311&season=2023&month=1000&season1=2023&ind=0&team=0,ts&rost=0&age=0&filter=&players=0&startdate=2023-03-17&enddate=2023-03-30"
"STL",47,2,9,9,1,0.128,0.17,0.195,0.419,0.366,0.447,0.561,0.454,188,88.9,0,4.7,0.9,0.7,0.313,0.531,0.156,0.4,0.275,0.133,0.121,0.394,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=c,6,11,12,13,21,34,35,40,41,23,37,38,50,61,305,111,203,199,58,43,44,45,47,102,110,308,311&season=2023&month=1000&season1=2023&ind=0&team=0,ts&rost=0&age=0&filter=&players=0&startdate=2023-03-17&enddate=2023-03-30"
"TOR",49,0,10,10,0,0.061,0.224,0.07,0.559,0.442,0.469,0.512,0.445,183,87.3,-0.6,3.9,-0.2,0.5,0.294,0.441,0.265,0,0.378,0.093,0.059,0.471,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=c,6,11,12,13,21,34,35,40,41,23,37,38,50,61,305,111,203,199,58,43,44,45,47,102,110,308,311&season=2023&month=1000&season1=2023&ind=0&team=0,ts&rost=0&age=0&filter=&players=0&startdate=2023-03-17&enddate=2023-03-30"
"TEX",38,2,11,10,1,0.158,0.211,0.219,0.364,0.313,0.421,0.531,0.436,177,88.6,0.1,3.2,-0.1,0.5,0.25,0.375,0.375,0.222,0.315,0.109,0.125,0.375,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=c,6,11,12,13,21,34,35,40,41,23,37,38,50,61,305,111,203,199,58,43,44,45,47,102,110,308,311&season=2023&month=1000&season1=2023&ind=0&team=0,ts&rost=0&age=0&filter=&players=0&startdate=2023-03-17&enddate=2023-03-30"
"PHI",41,1,7,6,1,0.049,0.317,0.333,0.44,0.308,0.341,0.641,0.425,168,85.3,0.1,3.1,-0.1,0.5,0.115,0.385,0.5,0.077,0.392,0.143,0.115,0.346,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=c,6,11,12,13,21,34,35,40,41,23,37,38,50,61,305,111,203,199,58,43,44,45,47,102,110,308,311&season=2023&month=1000&season1=2023&ind=0&team=0,ts&rost=0&age=0&filter=&players=0&startdate=2023-03-17&enddate=2023-03-30"
"LAD",40,1,8,8,0,0.125,0.3,0.147,0.5,0.353,0.425,0.5,0.421,167,90.3,-0.2,2.8,-0.1,0.4,0.522,0.217,0.261,0.167,0.29,0.132,0.043,0.391,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=c,6,11,12,13,21,34,35,40,41,23,37,38,50,61,305,111,203,199,58,43,44,45,47,102,110,308,311&season=2023&month=1000&season1=2023&ind=0&team=0,ts&rost=0&age=0&filter=&players=0&startdate=2023-03-17&enddate=2023-03-30"
"BOS",41,0,9,8,0,0.073,0.22,0.114,0.407,0.314,0.39,0.429,0.378,134,90.4,-0.1,1.2,-0.1,0.3,0.296,0.519,0.185,0,0.398,0.117,0.037,0.407,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=c,6,11,12,13,21,34,35,40,41,23,37,38,50,61,305,111,203,199,58,43,44,45,47,102,110,308,311&season=2023&month=1000&season1=2023&ind=0&team=0,ts&rost=0&age=0&filter=&players=0&startdate=2023-03-17&enddate=2023-03-30"
"CIN",39,1,4,3,0,0.154,0.385,0.182,0.412,0.242,0.359,0.424,0.364,123,84.4,-0.5,0.3,-0.1,0.1,0.222,0.5,0.278,0.2,0.313,0.163,0.111,0.278,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=c,6,11,12,13,21,34,35,40,41,23,37,38,50,61,305,111,203,199,58,43,44,45,47,102,110,308,311&season=2023&month=1000&season1=2023&ind=0&team=0,ts&rost=0&age=0&filter=&players=0&startdate=2023-03-17&enddate=2023-03-30"
"ATL",46,0,7,5,2,0.13,0.152,0.05,0.364,0.3,0.391,0.35,0.355,120,92.4,0.2,1,-0.1,0.3,0.182,0.545,0.273,0,0.213,0.113,0.091,0.455,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=c,6,11,12,13,21,34,35,40,41,23,37,38,50,61,305,111,203,199,58,43,44,45,47,102,110,308,311&season=2023&month=1000&season1=2023&ind=0&team=0,ts&rost=0&age=0&filter=&players=0&startdate=2023-03-17&enddate=2023-03-30"
